ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
CHE,Switzerland,"[6.02, 45.78, 10.44, 47.83]",39,40.3125,42.59375,38.5,46.3125,45,41,42.1875,39.5,43.90625,44,38.8125,42.09375,43,49,42.3125,40.40625,41.40625,44.59375,44.90625,41.1875,47.3125,41,48.40625,46.5,42.40625,49.3125,46.1875,44.6875,50.40625,42.6875,45.40625,47,46.40625,45.40625,47.09375,47.6875,47.8125,46.09375,51.90625,46.3125,47.3125,49.6875,42.8125,48.3125,48.40625,44.40625,47.6875,48.1875,48.59375,48.59375,50.1875,54.1875,51,54.90625,50.90625
CHL,Chile,"[-75.64, -55.61, -66.96, -17.58]",46,46.1875,46.5,47.09375,48.09375,47.8125,44.5,50.90625,51.5,45.09375,47.6875,55.5,44.90625,57.90625,59.1875,47.59375,46.5,50.3125,46.59375,44.5,51.90625,47.5,53.09375,47.5,46.90625,59.6875,46.3125,53.59375,52.6875,54.40625,51.09375,49.5,49.09375,57.8125,59.90625,50.6875,54,47.8125,47,52,57.09375,48.1875,46.8125,52,47.90625,50.90625,53.59375,46.40625,59,50.8125,51.59375,61.1875,56.1875,50.40625,59,53.5
CHN,China,"[73.68, 18.2, 135.03, 53.46]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,Ivory Coast,"[-8.6, 4.34, -2.56, 10.52]",50.6875,46.59375,51.6875,48.40625,50.8125,50,59.5,51,50.90625,52.90625,54.8125,56.1875,55.1875,56.09375,53.09375,52.09375,53.59375,56.5,52.90625,49.09375,52.3125,50,52.6875,52.1875,56.3125,54.8125,57.90625,57.5,52.8125,59.1875,54.09375,55.6875,51.90625,51.8125,58.09375,61.5,61.8125,60.3125,57.40625,58.3125,51.6875,50,56.6875,57.6875,53.3125,53,57.90625,58.6875,54,58.59375,57.40625,59.5,55,56.09375,55.6875,56.90625
CMR,Cameroon,"[8.49, 1.73, 16.01, 12.86]",58.3125,60.09375,54.5,58.59375,53.3125,55.40625,60,56.09375,57.8125,59.59375,62.1875,57,61.90625,55,57.3125,57.3125,55.40625,58.09375,58.6875,62.5,54.90625,56.3125,62.90625,56.40625,56.8125,62.8125,56.6875,57.09375,59.59375,57.59375,60.1875,59.1875,57.6875,66.625,59.5,60.6875,59.40625,58.8125,56.40625,61.8125,60,55.09375,57.09375,62.3125,65.6875,58.40625,59.3125,57.09375,62.3125,63.90625,59.5,63.1875,63.1875,57.1875,60.3125,62.1875
COD,Congo (Kinshasa),"[12.18, -13.26, 31.17, 5.26]",53.90625,51.90625,51.3125,52.40625,49.5,54,49.8125,56.09375,51.90625,55.3125,50.1875,53.5,48.5,55.59375,51.1875,49.59375,48.3125,52.59375,51.59375,62.5,50.40625,54.5,51.6875,63.6875,52.6875,57.5,50.6875,49.1875,52.3125,52.90625,57.59375,54.59375,49.40625,51.59375,53.6875,53.59375,55.40625,61.40625,55,51.59375,62.1875,56.6875,54.6875,56.5,58.5,54.09375,56.09375,54.3125,56.40625,55.09375,57.40625,56,54.1875,56.5,57.90625,55.6875
COG,Congo (Brazzaville),"[11.09, -5.04, 18.45, 3.73]",41.90625,40.1875,39.6875,45.5,45,40.59375,38.09375,43.1875,40.1875,41.90625,43.8125,42.3125,44.1875,43.90625,39.8125,47.40625,42.90625,40.09375,42.59375,41.09375,42.09375,40.09375,49.90625,44.90625,43.59375,41.1875,46.3125,46.40625,43.1875,41.59375,43.5,42.59375,43.5,43.3125,44.6875,45.6875,43,42.8125,44.40625,44.90625,44.09375,48.8125,48,45.5,43.5,44.6875,44.09375,47.90625,45.09375,44.5,44.3125,44.1875,44.6875,44.8125,50.59375,46
COL,Colombia,"[-78.99, -4.3, -66.88, 12.44]",58.59375,48.59375,48.1875,45.5,45.6875,48.90625,46.5,44.90625,49.1875,54.1875,50.90625,48.59375,46.09375,44.5,54,48.6875,51.90625,49.90625,46.90625,50.90625,48.6875,49.1875,51.8125,48.40625,48.1875,51.1875,50.5,53.09375,54.09375,48.90625,52.3125,48.1875,49.1875,51.8125,50.5,51,51.90625,58.40625,49.8125,55.8125,51.1875,51.6875,53.8125,52,47.8125,51.8125,51.3125,51.6875,52.3125,50.5,53.59375,50.90625,49.90625,52.90625,53,51.90625
CRI,Costa Rica,"[-85.94, 8.23, -82.55, 11.22]",39.90625,44.40625,40.3125,40.5,37.8125,38.1875,46.5,39.09375,39.1875,39.40625,46.59375,40.3125,39.5,40.6875,40.1875,41.3125,39.40625,42.1875,44.6875,44.09375,39.1875,41.59375,39.5,41.09375,43.40625,39.6875,41.40625,39.8125,42.90625,40.1875,42.09375,42.09375,40.3125,46.40625,40.5,41,40.3125,42.40625,42.5,39.5,39.90625,40.90625,44.59375,40.59375,42.09375,47.3125,41.5,42.40625,40.5,45.1875,48.5,41.90625,44.1875,42.09375,43.1875,44
CUB,Cuba,"[-84.97, 19.86, -74.18, 23.19]",43.59375,42.59375,47.09375,46,49.59375,44.59375,44.09375,42.40625,45.5,44.90625,45,44.90625,41.5,46.09375,43.6875,43.59375,44.6875,43.90625,51.3125,46.8125,45.8125,51.6875,42.59375,51.40625,42.5,45.3125,50.90625,42.6875,45.09375,50.5,49.59375,46.40625,46.09375,46,50.5,43.1875,49.3125,46.3125,54.09375,46.5,48.40625,50.6875,47.59375,46.8125,49.09375,48.3125,48,47.09375,45.8125,43.5,50.5,49.1875,55,48,50.09375,49.8125
