ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
CHN,China,"[73.68, 18.2, 135.03, 53.46]",69.1875,59.0,63.40625,74.3125,64.3125,67.375,68.1875,62.09375,63.0,66.875,76.8125,60.5,69.5,65.625,75.125,77.1875,65.0,63.0,67.1875,62.40625,69.1875,62.90625,67.8125,62.40625,63.8125,66.5,67.0,65.8125,66.6875,66.625,64.375,77.6875,67.625,69.0,63.8125,64.6875,67.125,65.3125,66.1875,68.6875,61.8125,68.0,67.5,63.90625,67.1875,65.3125,72.8125,66.1875,66.0,66.375,68.875,71.1875,64.625,78.875,66.1875,64.125
,Ivory Coast,"[-8.6, 4.34, -2.56, 10.52]",50.6875,46.59375,51.6875,48.40625,50.8125,50.0,59.5,51.0,50.90625,52.90625,54.8125,56.1875,55.1875,56.09375,53.09375,52.09375,53.59375,56.5,52.90625,49.09375,52.3125,50.0,52.6875,52.1875,56.3125,54.8125,57.90625,57.5,52.8125,59.1875,54.09375,55.6875,51.90625,51.8125,58.09375,61.5,61.8125,60.3125,57.40625,58.3125,51.6875,50.0,56.6875,57.6875,53.3125,53.0,57.90625,58.6875,54.0,58.59375,57.40625,59.5,55.0,56.09375,55.6875,56.90625
CMR,Cameroon,"[8.49, 1.73, 16.01, 12.86]",58.3125,60.09375,54.5,58.59375,53.3125,55.40625,60.0,56.09375,57.8125,59.59375,62.1875,57.0,61.90625,55.0,57.3125,57.3125,55.40625,58.09375,58.6875,62.5,54.90625,56.3125,62.90625,56.40625,56.8125,62.8125,56.6875,57.09375,59.59375,57.59375,60.1875,59.1875,57.6875,66.625,59.5,60.6875,59.40625,58.8125,56.40625,61.8125,60.0,55.09375,57.09375,62.3125,65.6875,58.40625,59.3125,57.09375,62.3125,63.90625,59.5,63.1875,63.1875,57.1875,60.3125,62.1875
COD,Congo (Kinshasa),"[12.18, -13.26, 31.17, 5.26]",53.90625,51.90625,51.3125,52.40625,49.5,54.0,49.8125,56.09375,51.90625,55.3125,50.1875,53.5,48.5,55.59375,51.1875,49.59375,48.3125,52.59375,51.59375,62.5,50.40625,54.5,51.6875,63.6875,52.6875,57.5,50.6875,49.1875,52.3125,52.90625,57.59375,54.59375,49.40625,51.59375,53.6875,53.59375,55.40625,61.40625,55.0,51.59375,62.1875,56.6875,54.6875,56.5,58.5,54.09375,56.09375,54.3125,56.40625,55.09375,57.40625,56.0,54.1875,56.5,57.90625,55.6875
COG,Congo (Brazzaville),"[11.09, -5.04, 18.45, 3.73]",41.90625,40.1875,39.6875,45.5,45.0,40.59375,38.09375,43.1875,40.1875,41.90625,43.8125,42.3125,44.1875,43.90625,39.8125,47.40625,42.90625,40.09375,42.59375,41.09375,42.09375,40.09375,49.90625,44.90625,43.59375,41.1875,46.3125,46.40625,43.1875,41.59375,43.5,42.59375,43.5,43.3125,44.6875,45.6875,43.0,42.8125,44.40625,44.90625,44.09375,48.8125,48.0,45.5,43.5,44.6875,44.09375,47.90625,45.09375,44.5,44.3125,44.1875,44.6875,44.8125,50.59375,46.0
COL,Colombia,"[-78.99, -4.3, -66.88, 12.44]",58.59375,48.59375,48.1875,45.5,45.6875,48.90625,46.5,44.90625,49.1875,54.1875,50.90625,48.59375,46.09375,44.5,54.0,48.6875,51.90625,49.90625,46.90625,50.90625,48.6875,49.1875,51.8125,48.40625,48.1875,51.1875,50.5,53.09375,54.09375,48.90625,52.3125,48.1875,49.1875,51.8125,50.5,51.0,51.90625,58.40625,49.8125,55.8125,51.1875,51.6875,53.8125,52.0,47.8125,51.8125,51.3125,51.6875,52.3125,50.5,53.59375,50.90625,49.90625,52.90625,53.0,51.90625
CRI,Costa Rica,"[-85.94, 8.23, -82.55, 11.22]",39.90625,44.40625,40.3125,40.5,37.8125,38.1875,46.5,39.09375,39.1875,39.40625,46.59375,40.3125,39.5,40.6875,40.1875,41.3125,39.40625,42.1875,44.6875,44.09375,39.1875,41.59375,39.5,41.09375,43.40625,39.6875,41.40625,39.8125,42.90625,40.1875,42.09375,42.09375,40.3125,46.40625,40.5,41.0,40.3125,42.40625,42.5,39.5,39.90625,40.90625,44.59375,40.59375,42.09375,47.3125,41.5,42.40625,40.5,45.1875,48.5,41.90625,44.1875,42.09375,43.1875,44.0
CUB,Cuba,"[-84.97, 19.86, -74.18, 23.19]",43.59375,42.59375,47.09375,46.0,49.59375,44.59375,44.09375,42.40625,45.5,44.90625,45.0,44.90625,41.5,46.09375,43.6875,43.59375,44.6875,43.90625,51.3125,46.8125,45.8125,51.6875,42.59375,51.40625,42.5,45.3125,50.90625,42.6875,45.09375,50.5,49.59375,46.40625,46.09375,46.0,50.5,43.1875,49.3125,46.3125,54.09375,46.5,48.40625,50.6875,47.59375,46.8125,49.09375,48.3125,48.0,47.09375,45.8125,43.5,50.5,49.1875,55.0,48.0,50.09375,49.8125
CYP,Cyprus,"[32.26, 34.57, 34.0, 35.17]",39.5,39.90625,42.09375,43.1875,41.40625,42.59375,41.5,41.8125,40.40625,42.3125,40.09375,40.1875,43.09375,40.8125,43.40625,40.1875,42.40625,40.8125,43.40625,40.90625,41.3125,42.09375,40.5,40.40625,39.40625,40.6875,42.40625,40.1875,41.6875,41.6875,43.5,44.40625,41.8125,41.3125,42.1875,44.09375,42.59375,44.59375,42.59375,41.90625,42.3125,42.40625,42.8125,46.6875,43.1875,42.40625,44.0,43.59375,43.1875,46.09375,43.6875,43.6875,43.0,44.5,44.59375,43.5
CZE,Czech Republic,"[12.24, 48.56, 18.85, 51.12]",41.09375,39.5,48.59375,42.59375,47.59375,43.59375,43.1875,44.6875,39.3125,42.1875,44.40625,42.90625,45.6875,44.09375,43.6875,41.90625,43.1875,42.40625,44.40625,46.3125,46.8125,43.40625,45.1875,45.5,44.0,39.8125,46.3125,44.0,49.40625,56.5,44.0,48.09375,47.0,47.5,46.5,46.90625,46.40625,47.6875,53.3125,44.3125,51.09375,47.09375,50.59375,43.40625,46.0,46.3125,45.40625,47.8125,48.3125,48.09375,48.5,46.6875,53.6875,51.90625,49.3125,49.3125
