ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
BLZ,Belize,"[-89.23, 15.89, -88.11, 18.5]",0.4190625,0.4109375,0.438125,0.4159375,0.4009375,0.4459375,0.4190625,0.421875,0.4009375,0.421875,0.401875,0.4,0.435,0.425,0.43,0.4440625,0.428125,0.4009375,0.406875,0.4209375,0.4190625,0.4109375,0.4540625,0.3959375,0.401875,0.431875,0.403125,0.423125,0.4090625,0.4109375,0.4609375,0.4159375,0.4209375,0.4309375,0.4540625,0.441875,0.438125,0.446875,0.4459375,0.4440625,0.428125,0.43,0.465,0.4440625,0.46,0.426875,0.45,0.4559375,0.4390625,0.4540625,0.445,0.4459375,0.445,0.4559375,0.4640625,0.496875
BOL,Bolivia,"[-69.59, -22.87, -57.5, -9.76]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,"[-73.99, -33.77, -34.73, 5.24]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei,"[114.2, 4.01, 115.45, 5.45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,"[88.81, 26.72, 92.1, 28.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,"[19.9, -26.83, 29.43, -17.66]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,"[14.46, 2.27, 27.37, 11.14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,"[-141.0, 41.68, -52.65, 73.23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,"[6.02, 45.78, 10.44, 47.83]",0.39,0.403125,0.4259375,0.385,0.463125,0.45,0.41,0.421875,0.395,0.4390625,0.44,0.388125,0.4209375,0.43,0.49,0.423125,0.4040625,0.4140625,0.4459375,0.4490625,0.411875,0.473125,0.41,0.4840625,0.465,0.4240625,0.493125,0.461875,0.446875,0.5040625,0.426875,0.4540625,0.47,0.4640625,0.4540625,0.4709375,0.476875,0.478125,0.4609375,0.5190625,0.463125,0.473125,0.496875,0.428125,0.483125,0.4840625,0.4440625,0.476875,0.481875,0.4859375,0.4859375,0.501875,0.541875,0.51,0.5490625,0.5090625
CHL,Chile,"[-75.64, -55.61, -66.96, -17.58]",0.46,0.461875,0.465,0.4709375,0.4809375,0.478125,0.445,0.5090625,0.515,0.4509375,0.476875,0.555,0.4490625,0.5790625,0.591875,0.4759375,0.465,0.503125,0.4659375,0.445,0.5190625,0.475,0.5309375,0.475,0.4690625,0.596875,0.463125,0.5359375,0.526875,0.5440625,0.5109375,0.495,0.4909375,0.578125,0.5990625,0.506875,0.54,0.478125,0.47,0.52,0.5709375,0.481875,0.468125,0.52,0.4790625,0.5090625,0.5359375,0.4640625,0.59,0.508125,0.5159375,0.611875,0.561875,0.5040625,0.59,0.535
CHN,China,"[73.68, 18.2, 135.03, 53.46]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ivory Coast,"[-8.6, 4.34, -2.56, 10.52]",0.506875,0.4659375,0.516875,0.4840625,0.508125,0.5,0.595,0.51,0.5090625,0.5290625,0.548125,0.561875,0.551875,0.5609375,0.5309375,0.5209375,0.5359375,0.565,0.5290625,0.4909375,0.523125,0.5,0.526875,0.521875,0.563125,0.548125,0.5790625,0.575,0.528125,0.591875,0.5409375,0.556875,0.5190625,0.518125,0.5809375,0.615,0.618125,0.603125,0.5740625,0.583125,0.516875,0.5,0.566875,0.576875,0.533125,0.53,0.5790625,0.586875,0.54,0.5859375,0.5740625,0.595,0.55,0.5609375,0.556875,0.5690625
CMR,Cameroon,"[8.49, 1.73, 16.01, 12.86]",0.583125,0.6009375,0.545,0.5859375,0.533125,0.5540625,0.6,0.5609375,0.578125,0.5959375,0.621875,0.57,0.6190625,0.55,0.573125,0.573125,0.5540625,0.5809375,0.586875,0.625,0.5490625,0.563125,0.6290625,0.5640625,0.568125,0.628125,0.566875,0.5709375,0.5959375,0.5759375,0.601875,0.591875,0.576875,0.66625,0.595,0.606875,0.5940625,0.588125,0.5640625,0.618125,0.6,0.5509375,0.5709375,0.623125,0.656875,0.5840625,0.593125,0.5709375,0.623125,0.6390625,0.595,0.631875,0.631875,0.571875,0.603125,0.621875
COD,Congo (Kinshasa),"[12.18, -13.26, 31.17, 5.26]",0.5390625,0.5190625,0.513125,0.5240625,0.495,0.54,0.498125,0.5609375,0.5190625,0.553125,0.501875,0.535,0.485,0.5559375,0.511875,0.4959375,0.483125,0.5259375,0.5159375,0.625,0.5040625,0.545,0.516875,0.636875,0.526875,0.575,0.506875,0.491875,0.523125,0.5290625,0.5759375,0.5459375,0.4940625,0.5159375,0.536875,0.5359375,0.5540625,0.6140625,0.55,0.5159375,0.621875,0.566875,0.546875,0.565,0.585,0.5409375,0.5609375,0.543125,0.5640625,0.5509375,0.5740625,0.56,0.541875,0.565,0.5790625,0.556875
COG,Congo (Brazzaville),"[11.09, -5.04, 18.45, 3.73]",0.4190625,0.401875,0.396875,0.455,0.45,0.4059375,0.3809375,0.431875,0.401875,0.4190625,0.438125,0.423125,0.441875,0.4390625,0.398125,0.4740625,0.4290625,0.4009375,0.4259375,0.4109375,0.4209375,0.4009375,0.4990625,0.4490625,0.4359375,0.411875,0.463125,0.4640625,0.431875,0.4159375,0.435,0.4259375,0.435,0.433125,0.446875,0.456875,0.43,0.428125,0.4440625,0.4490625,0.4409375,0.488125,0.48,0.455,0.435,0.446875,0.4409375,0.4790625,0.4509375,0.445,0.443125,0.441875,0.446875,0.448125,0.5059375,0.46
COL,Colombia,"[-78.99, -4.3, -66.88, 12.44]",0.5859375,0.4859375,0.481875,0.455,0.456875,0.4890625,0.465,0.4490625,0.491875,0.541875,0.5090625,0.4859375,0.4609375,0.445,0.54,0.486875,0.5190625,0.4990625,0.4690625,0.5090625,0.486875,0.491875,0.518125,0.4840625,0.481875,0.511875,0.505,0.5309375,0.5409375,0.4890625,0.523125,0.481875,0.491875,0.518125,0.505,0.51,0.5190625,0.5840625,0.498125,0.558125,0.511875,0.516875,0.538125,0.52,0.478125,0.518125,0.513125,0.516875,0.523125,0.505,0.5359375,0.5090625,0.4990625,0.5290625,0.53,0.5190625
CRI,Costa Rica,"[-85.94, 8.23, -82.55, 11.22]",0.3990625,0.4440625,0.403125,0.405,0.378125,0.381875,0.465,0.3909375,0.391875,0.3940625,0.4659375,0.403125,0.395,0.406875,0.401875,0.413125,0.3940625,0.421875,0.446875,0.4409375,0.391875,0.4159375,0.395,0.4109375,0.4340625,0.396875,0.4140625,0.398125,0.4290625,0.401875,0.4209375,0.4209375,0.403125,0.4640625,0.405,0.41,0.403125,0.4240625,0.425,0.395,0.3990625,0.4090625,0.4459375,0.4059375,0.4209375,0.473125,0.415,0.4240625,0.405,0.451875,0.485,0.4190625,0.441875,0.4209375,0.431875,0.44
CUB,Cuba,"[-84.97, 19.86, -74.18, 23.19]",0.4359375,0.4259375,0.4709375,0.46,0.4959375,0.4459375,0.4409375,0.4240625,0.455,0.4490625,0.45,0.4490625,0.415,0.4609375,0.436875,0.4359375,0.446875,0.4390625,0.513125,0.468125,0.458125,0.516875,0.4259375,0.5140625,0.425,0.453125,0.5090625,0.426875,0.4509375,0.505,0.4959375,0.4640625,0.4609375,0.46,0.505,0.431875,0.493125,0.463125,0.5409375,0.465,0.4840625,0.506875,0.4759375,0.468125,0.4909375,0.483125,0.48,0.4709375,0.458125,0.435,0.505,0.491875,0.55,0.48,0.5009375,0.498125
